,track_id,track_name,track_pop,artist_name,artist_pop,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
39,5iloeEnYSKxjR9GSOAgu4D,Haydi Gel İçelim,8,Yüksek Sadakat,60.0,"['turkish pop', 'turkish rock']",0.635,0.66,9,-4.558,1.0,0.0711,0.0825,0.0,0.0779,0.66,136.017
40,2769e3EfBMnc1wmtbu5ubo,Serzenişte,51,Vega,45.0,['turkish rock'],0.536,0.844,7,-5.26,1.0,0.097,0.00325,0.00471,0.0679,0.86,192.022
41,2mwCk42hjSzBV7TgdeUd0z,Yollarda Bulurum Seni,57,Haluk Levent,53.0,"['anadolu rock', 'turkish pop', 'turkish rock']",0.658,0.582,7,-13.577,0.0,0.0658,0.0301,0.0,0.0708,0.811,134.368
42,1erOM9IrAsaObbXXzuP6hk,Havaalanı,57,Hande Yener,59.0,['turkish pop'],0.702,0.921,0,-3.744,0.0,0.0567,0.0731,0.0,0.251,0.877,130.021
43,3GOWPLgETdgtkv243efOnJ,Haykıracak Nefesim Kalmasa Bile,49,Ajda Pekkan,58.0,"['turkish pop', 'turkish psych']",0.728,0.576,9,-9.671,1.0,0.129,0.0823,0.0,0.102,0.383,114.96
44,6nAgxB5x7vlGVVIoWpCwaM,Ölürüm Sana,59,Tarkan,63.0,['turkish pop'],0.753,0.926,9,-8.485,1.0,0.103,0.00718,2.28e-06,0.0407,0.79,92.015
45,65lF4BSw3bdNHf93OqfjQX,Ben Seni Arayamam,3,Yüksek Sadakat,60.0,"['turkish pop', 'turkish rock']",0.501,0.8,2,-3.845,0.0,0.0412,0.136,0.0038,0.162,0.494,139.949
46,07XreIUPSHi3ro0C8Mh43W,Cumhuriyet,1,Yalın,59.0,['turkish pop'],0.575,0.812,9,-6.056,0.0,0.0614,0.391,0.0,0.103,0.868,87.96
47,2i2V9oUFVO57KOwSDQhoh5,Yalancı Şahidim,1,Rafet El Roman,51.0,"['deep turkish pop', 'turkish pop']",0.654,0.952,2,-4.806,0.0,0.0508,0.102,0.00145,0.0676,0.964,160.026
48,792QVjxxjKC1rgEwHI2G2d,Zor Kadın,54,Sertab Erener,60.0,"['turkish jazz', 'turkish pop', 'turkish singer-songwriter']",0.702,0.531,2,-8.167,0.0,0.0486,0.362,0.0,0.1,0.761,92.974
49,4Am7XgKpt84IDRCv3PyXW8,Nasılsın Aşkta?,2,Aleyna Tilki,57.0,"['turkish pop', 'turkish trap pop']",0.71,0.782,8,-6.703,0.0,0.0466,0.118,1.92e-06,0.106,0.216,139.932
0,3hyKH9IW6LUHg8eTFagrpj,Tren Al Sur,43,Xochi Krausse,34.0,['cover acustico'],0.77,0.248,5,-13.275,1.0,0.0401,0.856,2.72e-05,0.0851,0.289,112.074
1,0RZ5fW0i0FfCHCpteE5eJG,La Celula Que Explota,36,Aurelia Goldspark,35.0,['cover acustico'],0.579,0.159,11,-10.757,0.0,0.0356,0.891,4.14e-06,0.107,0.192,129.856
2,1BfG1GebmxE0OWl0lz1E3l,Pobre De Ti,33,Eloise Freud,33.0,['cover acustico'],0.525,0.375,4,-9.509,0.0,0.0514,0.777,5.41e-06,0.172,0.691,91.71
3,3ycUofTqfgzI1HukxVbcYj,Gimme Tha Power,29,Paco Rommel,12.0,['cover acustico'],0.636,0.206,1,-13.225,1.0,0.0722,0.901,6.55e-06,0.0703,0.495,135.587
4,3RZuoHtuX5ZJsqbAtJu8Cw,El Microbito,41,Kendra Soliz,26.0,['cover acustico'],0.52,0.156,11,-14.423,1.0,0.0522,0.872,0.00123,0.0958,0.509,173.914
5,3GSFaZ8m1nTEzZaZ5bco11,El Matador,32,Roberta Loki,26.0,['cover acustico'],0.468,0.126,9,-14.163,0.0,0.0411,0.921,0.0,0.101,0.319,107.835
6,5usKouO9EPZnbzztaZd9jw,Andar Conmigo,38,Leopoldo Lopez,21.0,['cover acustico'],0.522,0.201,2,-13.073,1.0,0.0314,0.569,0.000139,0.176,0.408,107.305
7,1s1XgeIjN3tyyuduv3VhRU,Fuji,44,Loli Molina,44.0,"['argentine indie', 'cancion infantil latinoamericana']",0.57,0.0706,8,-16.053,1.0,0.0366,0.972,3.09e-05,0.105,0.117,129.166
8,5hdO9pJEp8Ht35PzrQjWqT,Las Flores,32,Xochi Krausse,34.0,['cover acustico'],0.664,0.321,2,-9.669,1.0,0.0303,0.53,0.0,0.0905,0.429,115.767
9,0xq83JuGO0zzaUuIAJXKMQ,Lucha De Gigantes,42,Mac Gregor,24.0,['cover acustico'],0.544,0.318,6,-10.18,0.0,0.0382,0.794,0.0,0.111,0.412,149.836
10,5p1RdRVrH5uXL7xKF2lWby,Oye Mi Amor,44,Anabel,27.0,['cover acustico'],0.617,0.149,11,-16.598,0.0,0.0398,0.963,2.03e-05,0.118,0.292,130.052
11,3yxoXsE9d1DTg6f1TGESig,Fin,39,Islas,21.0,['merida indie'],0.325,0.404,7,-11.0,1.0,0.0354,0.906,0.162,0.11,0.287,96.975
12,0hbK1n62deXhuCCRXA3ZhL,Es Tan Facil Romper Un Corazon (feat. Mau Barona),33,Chris Correa,14.0,['cover acustico'],0.697,0.404,9,-8.892,1.0,0.0308,0.937,0.00068,0.102,0.192,116.96
13,1N3v2HrPNYzaDYrcTSzf1y,Entre Dos Tierras,25,Lvlxby,9.0,['merida indie'],0.59,0.362,7,-11.176,1.0,0.026,0.773,0.793,0.182,0.192,134.031
14,426wx76fpCWUUsZwfjGh1j,Llueve Sobre La Ciudad,31,Sámdalo,25.0,['cover acustico'],0.455,0.205,8,-12.163,0.0,0.0309,0.879,1.93e-06,0.108,0.313,150.951
15,2BroLAFj3ALbcXmImu2ExP,Crimen,40,I.M.H.O.,23.0,['cover acustico'],0.612,0.173,10,-12.366,1.0,0.0286,0.899,0.0,0.311,0.276,84.057
16,6ngcjbVUoTOD2Up8AYJC7Y,Las Flores,34,Lea Aput,26.0,['cover acustico'],0.576,0.455,2,-7.284,1.0,0.0291,0.608,0.0,0.205,0.548,140.1
17,4A6G2xNppWG9MI0kmBMraX,Asi Es La Vida,31,Pablo Rojas,13.0,['cover acustico'],0.424,0.277,7,-8.984,0.0,0.036,0.943,0.00449,0.16,0.447,91.935
18,4sVoEFCyerZgHpVuPK4klD,Mátenme Porque Me Muero,39,Pedro y el Lobo,27.0,['cover acustico'],0.647,0.304,6,-13.183,1.0,0.0443,0.847,0.288,0.0926,0.226,84.074
19,1ugKUE0nTIfcJ7aL44YIQN,Bolero Falaz,26,Lea Aput,26.0,['cover acustico'],0.284,0.404,0,-7.889,1.0,0.0353,0.861,0.000406,0.087,0.4,208.272
20,7wtgpYgHdOGk31BilyA5CP,Mariposa Tecknicolor,33,I.M.H.O.,23.0,['cover acustico'],0.443,0.151,0,-19.443,1.0,0.0628,0.136,0.0,0.106,0.567,204.704
21,0mcUQ5mkevgbOpuLDAPTKF,Lamento Boliviano,35,Lea Aput,26.0,['cover acustico'],0.301,0.41,0,-8.572,0.0,0.0304,0.654,1.59e-05,0.082,0.371,94.026
22,1GS8GZYrkYqLrhTHxDpNqT,De Musica Ligera,43,Sámdalo,25.0,['cover acustico'],0.649,0.412,7,-9.834,0.0,0.0273,0.708,0.0,0.0587,0.331,92.956
23,2QoyYV4YAuw9T9UgsDoam2,Starboy - Acoustic,51,Simon Samaeng,44.0,"['acoustic chill', 'viral pop']",0.585,0.397,7,-9.847,0.0,0.0528,0.782,0.0,0.269,0.226,86.837
24,1e7Pmjjv2GuFkZ1oIEADF3,Dance Monkey,44,Dylan O'Neil,25.0,['acoustic chill'],0.658,0.291,6,-11.821,0.0,0.0408,0.909,1.24e-05,0.104,0.271,75.121
25,3DiSg52IvK0nmFwsMKL7bB,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic,48,Sara Farell,51.0,"['acoustic cover', 'channel pop', 'neo mellow', 'viral pop']",0.656,0.349,0,-6.841,1.0,0.0289,0.784,0.0,0.138,0.289,118.026
26,32SkNdTcuxvUGjtv0ObOgu,Creep,57,Karen Souza,59.0,"['bossa nova cover', 'coverchill', 'jazz cover']",0.69,0.235,0,-12.42,1.0,0.0305,0.704,0.000984,0.087,0.285,94.044
27,7q2VGgWjRiF8koIHmIIpYh,I Don't Care,42,Gabriela Silva,29.0,[],0.687,0.257,9,-12.256,1.0,0.0342,0.863,0.00345,0.103,0.473,171.748
28,0m47aTI8H0FNAZ787gl6To,Lovefool,29,Los Cafres,60.0,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",0.689,0.477,11,-6.191,1.0,0.0315,0.306,0.0,0.0886,0.841,128.877
29,3mbKpFZLEA8zM6qNyZA5uS,Roxanne - Acoustic,37,Jennie P,19.0,['acoustic chill'],0.792,0.215,9,-11.692,1.0,0.125,0.871,4.2e-06,0.278,0.685,140.037
30,62rpDZFDR3rzC7kNH4cjA1,Physical - Acoustic,44,Victoria Voss,49.0,[],0.759,0.244,0,-12.146,1.0,0.0476,0.785,0.0,0.281,0.552,130.031
31,7c0YUDcJreOv1OoBGf1KdH,Graveyard - Acoustic,46,Highland Peak,41.0,['acoustic chill'],0.425,0.249,4,-12.219,0.0,0.0355,0.87,0.00175,0.124,0.235,123.632
32,09aPOYl1IgtRaBnytb7MdR,Blinding Lights - Acoustic,48,Victoria Voss,49.0,[],0.469,0.26,5,-8.517,1.0,0.03,0.879,0.0,0.0914,0.291,131.643
33,3vetyGs0vfHn5BE8LpsElU,Big Girls Don't Cry - Bossanova,52,Rio Bossa Trio,38.0,['bossa nova cover'],0.815,0.375,7,-10.277,1.0,0.0397,0.692,8.58e-06,0.103,0.561,107.586
34,0v1yN5C75um5Wx2WPtFl6k,Sunflower,52,Sara Farell,51.0,"['acoustic cover', 'channel pop', 'neo mellow', 'viral pop']",0.568,0.213,2,-11.882,1.0,0.0379,0.955,0.0,0.113,0.302,72.932
35,1G0q6mPYI7P5dT2KUG5D4E,Strawberry Fields Forever - Remasterizado 2008,47,Los Fabulosos Cadillacs,65.0,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",0.743,0.769,9,-7.588,1.0,0.0501,0.087,0.00074,0.0638,0.832,118.293
36,4JrV4NJ4ChSoxBTEIb0D7F,Closer,52,Tore,37.0,[],0.677,0.518,11,-8.56,1.0,0.0289,0.463,0.0,0.0852,0.527,95.013
37,1hrDzrt4YgZdD67MOu5U0Q,Umbrella - Acoustic Version,53,The Mayries,57.0,"['acoustic cover', 'acoustic pop', 'neo mellow', 'viral pop']",0.675,0.278,3,-9.569,1.0,0.0343,0.845,0.0,0.114,0.353,123.962
38,6kvKiy3SJXTEF44w1hXRud,Crazy in Love,52,Rio Bossa Trio,38.0,['bossa nova cover'],0.751,0.26,5,-10.184,1.0,0.0754,0.902,3.11e-06,0.106,0.558,138.927
39,1rv56nMI7nSrcyqpQqgSQb,Counting Stars,43,Amanda Yang,54.0,"['channel pop', 'viral pop']",0.39,0.236,5,-8.862,1.0,0.0402,0.86,0.0,0.19,0.37,171.8
40,4PGdU6yyUM4GSdLe6tUiNT,Starships - Acoustic Version,52,Amanda Yang,54.0,"['channel pop', 'viral pop']",0.762,0.233,0,-8.641,1.0,0.0374,0.822,0.0,0.101,0.522,99.164
41,5L6dqgjZVv8doJFtlar1I5,Best Part,41,Lúc,42.0,"['acoustic chill', 'channel pop', 'viral pop']",0.637,0.0825,7,-15.955,1.0,0.0328,0.931,2.93e-06,0.111,0.225,109.556
42,65JemFi7O8Tfj35WJitEa8,Motor Psico,0,Diego Lorenzini,44.0,"['chilean indie', 'latin rock']",0.812,0.378,7,-12.281,0.0,0.0379,0.878,0.235,0.416,0.834,99.992
43,6YOOCjjIb0pBZXbJjYgUlP,Dancing With A Stranger,44,Sara Farell,51.0,"['acoustic cover', 'channel pop', 'neo mellow', 'viral pop']",0.595,0.18,9,-11.391,1.0,0.0298,0.89,0.0,0.113,0.261,79.922
44,3ISO5uPwAdDcfyVDxJovDt,Dancing with Tears in My Eyes - Acoustic Version,42,Blended Colours,37.0,['acoustic chill'],0.676,0.0791,9,-12.692,1.0,0.033,0.876,0.0,0.0972,0.18,95.833
45,0NREkFloGwchkD4AKHZ10Y,If I Can't Have You,41,Gabriela Silva,29.0,[],0.785,0.374,2,-8.439,1.0,0.0292,0.869,0.0,0.12,0.425,99.942
46,4FySSgjEVn7lC6BK7VYH1O,These Boots Are Made For Walkin´,37,La Familia de Ukeleles,29.0,['argentine indie'],0.742,0.458,9,-7.821,1.0,0.0407,0.353,0.0,0.186,0.489,82.92
